user_id,account_age_days,transaction_count,transactions_per_hour,unique_merchant_count,merchant_concentration_ratio,unique_device_count,max_shared_device_users,max_users_on_device_in_window,is_suspicious,velocity_score,short_window_device_score,merchant_score,account_age_score,shared_device_score,risk_score,risk_level
U0001,655,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,0.6,0.0,0.0,0.8,30.0,LOW
U0002,115,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.4,0.0,0.0,0.8,24.0,LOW
U0003,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1.33,LOW
U0004,760,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.4,0.0,0.0,0.8,24.0,LOW
U0005,282,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.8,0.0,0.0,0.8,36.0,LOW
U0006,251,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.8,0.0,0.0,0.8,36.0,LOW
U0007,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0008,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0009,755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0010,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0011,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0012,759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0013,914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0014,559,2.0,0.316622691292876,2.0,0.0,2.0,5.0,4.0,1.0,0.00316622691292876,0.6,0.0,0.0,0.8,30.09,LOW
U0015,90,2.0,0.1986754966887417,2.0,0.0,2.0,5.0,5.0,1.0,0.001986754966887417,0.8,0.0,0.0,0.8,36.06,LOW
U0016,605,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.8,0.0,0.0,0.8,36.0,LOW
U0017,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0018,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0019,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0020,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0021,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0022,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0023,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0024,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0025,28,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.4,0.0,0.06666666666666667,0.8,24.67,LOW
U0026,575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0027,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0028,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0029,666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0030,719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0031,559,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,0.6,0.0,0.0,0.8,30.0,LOW
U0032,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
U0033,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
